id;sentenca;classe
3503;Alerta de prazo: O prazo para contrarrazões não comporta mais dilação.;Prazos_e_Audiências
482;Deferido o pedido de gratuidade de justiça. Verifique o andamento no PJe.;Andamentos_Processuais
4122;Status da tarefa: O advogado pleno validou o feedback individual na sala de conferências.;Tarefas_e_Delegações_Interna
3528;Alerta de prazo: O prazo peremptório termina em 48 horas. Prepare a documentação.;Prazos_e_Audiências
512;Atenção: Embargos de declaração rejeitados no Diário da Justiça Eletrônico. Verifique o andamento no tribunal.;Andamentos_Processuais
1373;Aviso: O depósito judicial foi recebido.;Financeiro_e_Custas
4928;Atenção equipe: A Dra. Mariana marcou o feedback individual via Microsoft Teams.;Tarefas_e_Delegações_Interna
3980;Lembrete: A sessão de julgamento foi cancelada pelo juízo. Prepare a documentação.;Prazos_e_Audiências
1698;Repasse ao cliente finalizado e o comprovante anexado aos autos.;Financeiro_e_Custas
3261;Alerta de prazo: O prazo para manifestação foi devolvido por 10 dias. Notifique o cliente.;Prazos_e_Audiências
2745;Aviso: O contrato de honorários foi enviado por e-mail.;Gestão_de_Documentos
3006;A audiência de oitiva de testemunhas foi designada para hoje às 14h. O sistema já foi atualizado.;Prazos_e_Audiências
539;Urgente: Agravo de instrumento recebido na 1ª Vara Cível. Cumpra-se com urgência.;Andamentos_Processuais
3158;A audiência de justificação será presencial no fórum. Atenção ao calendário interno.;Prazos_e_Audiências
3187;Atenção: A sessão do tribunal do júri ocorrerá de forma 100% virtual.;Prazos_e_Audiências
2839;Status interno: a declaração de hipossuficiência foi assinada via certificado A3.;Gestão_de_Documentos
3766;Sessão de julgamento presencial registrada na pauta do dia 12/1.;Prazos_e_Audiências
2045;O comprovante de residência foi enviado para o e-mail do cliente pelo sócio.;Gestão_de_Documentos
4210;Urgente: O coordenador da equipe cancelou o comitê de avaliação para despachar com o juiz.;Tarefas_e_Delegações_Interna
3411;Alerta de prazo: O prazo peremptório está suspenso. Evite a preclusão.;Prazos_e_Audiências
4426;Urgente: A controladoria jurídica agendou o despacho com o juiz referente ao caso Silva.;Tarefas_e_Delegações_Interna
3490;Lembrete: O prazo de embargos de declaração encerra-se na próxima semana. Não perca o horário estabelecido.;Prazos_e_Audiências
4459;O gestor do departamento encerrou o protocolo do recurso com máxima urgência.;Tarefas_e_Delegações_Interna
603;Carta rogatória expedida na 9ª Vara Criminal. Confira no portal do e-SAJ.;Andamentos_Processuais
3359;Audiência trabalhista registrada na pauta do dia 22/8.;Prazos_e_Audiências
4389;Nova delegação: Sócio diretor encerrou o workflow da tarefa e aguarda sua validação.;Tarefas_e_Delegações_Interna
4333;Checklist interno de onboarding do cliente foi preenchido.;Tarefas_e_Delegações_Interna
3973;Audiência de conciliação cancelada e será reagendada em breve.;Prazos_e_Audiências
735;Status do processo: Suspensão do processo decretada no portal eletrônico e-SAJ. Aguardando decurso de prazo.;Andamentos_Processuais
1858;Despesa de tradução juramentada confirmada pela controladoria jurídica.;Financeiro_e_Custas
4068;Aviso interno: Advogado pleno pediu urgência na análise do caso até o final do dia.;Tarefas_e_Delegações_Interna
2850;Procuração ad judicia convertida para PDF e salva no sistema.;Gestão_de_Documentos
893;Revogada a liminar anteriormente deferida.;Andamentos_Processuais
2528;O comprovante de residência foi protocolado na rede interna na nuvem corporativa.;Gestão_de_Documentos
576;Expedido alvará de levantamento de valores. Publicação no Diário Oficial de hoje.;Andamentos_Processuais
4822;Lembrete: enviar a carteira de trabalho até amanhã.;Tarefas_e_Delegações_Interna
2578;Planilha de cálculos renomeada conforme padrão do escritório.;Gestão_de_Documentos
1647;Alerta financeiro: As custas complementares foram efetuadas com vencimento para amanhã.;Financeiro_e_Custas
587;Urgente: Carta precatória expedida pela secretaria da vara.;Andamentos_Processuais
851;Status do processo: Apelação interposta. O processo segue tramitação normal.;Andamentos_Processuais
25;Urgente: Apelação interposta na 1ª Vara Cível. Aguardando a intimação do réu.;Andamentos_Processuais
3200;A reunião de tentativa de acordo foi cancelada pelo juízo. A parte contrária já foi intimada.;Prazos_e_Audiências
1629;Aviso: As custas processuais no valor de R$ 4.100,00 foram quitadas conforme determinação judicial.;Financeiro_e_Custas
1668;As despesas de viagem foram confirmadas.;Financeiro_e_Custas
3433;Prazo para impugnação ao cumprimento de sentença é fatal, sem possibilidade de prorrogação.;Prazos_e_Audiências
536;Prevenção de juízo declarada na 3ª Vara Criminal.;Andamentos_Processuais
4241;Aviso interno: O sócio sênior reagendou o despacho com o juiz e aguarda aprovação.;Tarefas_e_Delegações_Interna
1056;Penhora online confirmada na conta com sucesso.;Financeiro_e_Custas
1542;Boleto de honorários mensais gerado e enviado ao e-mail de Maria Santos.;Financeiro_e_Custas
372;Pedido de vista formulado por desembargador no PJe.;Andamentos_Processuais
1932;Alerta financeiro: As despesas de viagem no valor de R$ 3.900,00 foram emitidas conforme tabela da OAB.;Financeiro_e_Custas
261;Redistribuição do processo por dependência no processo nº 0033505-45.2021.8.15.0001. Publicação no Diário Oficial de hoje.;Andamentos_Processuais
2503;Petição inicial revisada e pronta para envio ao cliente.;Gestão_de_Documentos
4180;Nova delegação: A estagiária assumiu o resumo do processo antes do fim do expediente.;Tarefas_e_Delegações_Interna
2732;Petição de juntada da minuta de acordo assinada com token OAB.;Gestão_de_Documentos
1242;Confirmação: O boleto de honorários foi realizado e anexado aos autos.;Financeiro_e_Custas
1836;Pagamento pendente: A penhora online venceu.;Financeiro_e_Custas
4843;Aviso interno: A controladoria jurídica reagendou o despacho com o juiz via Microsoft Teams.;Tarefas_e_Delegações_Interna
531;Carta rogatória expedida no processo nº 0065134-45.2023.8.13.0003. Publicação no Diário Oficial de hoje.;Andamentos_Processuais
2042;Atualização: O RG do cliente foi anexado com sucesso.;Gestão_de_Documentos
1797;RPV (Requisição de Pequeno Valor) no valor de R$ 2.000,00.;Financeiro_e_Custas
4891;Status da tarefa: O sócio sênior atribuiu a planilha de clientes para a revisão final do sócio.;Tarefas_e_Delegações_Interna
327;Sentença proferida na 10ª Vara do Júri. Vista às partes por 5 dias.;Andamentos_Processuais
2905;Upload falhou: A ficha de cadastro foi encaminhada ao setor paralegal pelo sócio responsável.;Gestão_de_Documentos
3123;Perícia contábil remarcada para a próxima semana.;Prazos_e_Audiências
2616;Atualização: O termo de acordo foi corrompido durante o upload e arquivado de forma definitiva.;Gestão_de_Documentos
4513;Status da tarefa: O Dr. Rafael pediu a elaboração de quesitos para a reunião de sexta.;Tarefas_e_Delegações_Interna
2072;Documento: O laudo pericial foi enviado por e-mail via aplicativo do escritório.;Gestão_de_Documentos
1509;Confirmação: A retenção de imposto no valor de R$ 4.600,00 foi efetuada no portal do tribunal.;Financeiro_e_Custas
2626;Planilha de cálculos recebida por e-mail e protocolada no sistema interno.;Gestão_de_Documentos
2063;Declaração de imposto de renda digitalizada e indexada no sistema.;Gestão_de_Documentos
2818;Parecer técnico digitalizado e indexado no sistema.;Gestão_de_Documentos
1871;Confirmação de pagamento da guia de custas processuais recebida.;Financeiro_e_Custas
760;Redistribuição do feito por sorteio na 20ª Vara Trabalhista. Publicação no Diário Oficial de hoje.;Andamentos_Processuais
4031;Nova delegação: A advogada júnior agendou a pauta de audiências via Microsoft Teams.;Tarefas_e_Delegações_Interna
70;Sentença proferida na 3ª Vara Cível. Confira o teor no sistema.;Andamentos_Processuais
4738;Aviso interno: Dra. Camila agendou uma reunião de alinhamento.;Tarefas_e_Delegações_Interna
2735;Atenção: A documentação anexada está disponível para download.;Gestão_de_Documentos
4757;O Dr. Carlos agendou o despacho com o juiz como prioridade 1.;Tarefas_e_Delegações_Interna
